|LJ001-0001|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition.1
192|LJ002-0008|On the 14th June, 1800, there were 199 debtors and 289 felons in the prison.|On the fourteenth June, eighteen hundred, there were one hundred ninety-nine debtors and two hundred eighty-nine felons in the prison.
193|LJ002-0009|On the 27th April, in the following year,|On the twenty-seventh April, in the following year,
194|LJ002-0010|these numbers had risen to 275 and 375 respectively, or 650 in all.|these numbers had risen to two hundred seventy-five and three hundred seventy-five respectively, or six hundred fifty in all.
195|LJ002-0011|For two more years these high figures were steadily maintained, and in 1803 the total rose to 710.|For two more years these high figures were steadily maintained, and in eighteen oh three the total rose to seven hundred ten.
196|LJ002-0012|After that they fell as steadily,|After that they fell as steadily,
197|LJ002-0013|till, 1808, the lowest point was touched of 197 debtors and 182 felons, or 379 in all.|till, eighteen oh eight, the lowest point was touched of one hundred ninety-seven debtors and one hundred eighty-two felons, or three hundred seventy-nine in all.
198|LJ002-0014|The numbers soon increased, however, and by 1811 had again risen to 629; and Mr. Neild was told that there had been at one time|The numbers soon increased, however, and by eighteen eleven had again risen to six hundred twenty-nine; and Mr. Neild was told that there had been at one time
199|LJ002-0015|300 debtors and 900 criminals in Newgate, or twelve hundred prisoners in all.|three hundred debtors and nine hundred criminals in Newgate, or twelve hundred prisoners in all.
200|LJ002-0016|Previous to that date there had been 700 or 800 frequently, and once, in Mr. Akerman's time, one thousand.|Previous to that date there had been seven hundred or eight hundred frequently, and once, in Mr. Akerman's time, one thousand.
201|LJ002-0017|Trustworthy evidence is forthcoming to the effect that these high figures were constantly maintained for many months at a time.|Trustworthy evidence is forthcoming to the effect that these high figures were constantly maintained for many months at a time.
202|LJ002-0018|The inadequacy of the jail was noticed and reported upon again and again by the grand juries of the city of London,|The inadequacy of the jail was noticed and reported upon again and again by the grand juries of the city of London,
203|LJ002-0019|who seldom let a session go by without visiting Newgate.|who seldom let a session go by without visiting Newgate.
204|LJ002-0020|In 1813|In eighteen thirteen
205|LJ002-0021|the grand jury made a special presentment to the Court of Common Council, pointing out that on the debtors' side, which was intended for only 100,|the grand jury made a special presentment to the Court of Common Council, pointing out that on the debtors' side, which was intended for only one hundred,
206|LJ002-0022|no less than 340 were crowded, to the great inconvenience and danger of the inmates.|no less than three hundred forty were crowded, to the great inconvenience and danger of the inmates.
207|LJ002-0023|On the female side matters were much worse;|On the female side matters were much worse;
208|LJ002-0024|Quote. the apartments set apart for them, being built to accommodate 60 persons, now contain about 120. End quote.|Quote. the apartments set apart for them, being built to accommodate sixty persons, now contain about one hundred twenty. End quote.
209|LJ002-0025|Returns laid before the House of Commons showed that 6439 persons had been committed to Newgate|Returns laid before the House of Commons showed that six thousand, four hundred thirty-nine persons had been committed to Newgate
210|LJ002-0026|in the three years between 1813 and 1816,|in the three years between eighteen thirteen and eighteen sixteen,
211|LJ002-0027|and this number did not include the debtors, a numerous class, who were still committed to Newgate pending the completion of the White Cross Street prison.|and this number did not include the debtors, a numerous class, who were still committed to Newgate pending the completion of the White Cross Street prison.
212|LJ002-0028|In order to realize the evils entailed by incarceration in Newgate in these days, it is necessary to give some account of its interior|In order to realize the evils entailed by incarceration in Newgate in these days, it is necessary to give some account of its interior
213|LJ002-0029|as it was occupied and appropriated in 1810.|as it was occupied and appropriated in eighteen ten.
214|LJ002-0030|"Full details of the arrangements are to be found in Mr. Neild's ""State of Prisons in England, Scotland, and Wales,"" published in 1812."|"Full details of the arrangements are to be found in Mr. Neild's ""State of Prisons in England, Scotland, and Wales,"" published in eighteen twelve."
215|LJ002-0031|The jail at that date was divided into eight separate and more or less distinct departments, each of which had its own wards and yard.|The jail at that date was divided into eight separate and more or less distinct departments, each of which had its own wards and yard.
216|LJ002-0032|These were: 1. The male debtors' side.|These were: one. The male debtors' side.
217|LJ002-0033|2. The female debtors' side. 3. The chapel yard. 4. The middle yard.|two. The female debtors' side. three. The chapel yard. four. The middle yard.
218|LJ002-0034|5. The master felons' side. 6. The female felons' side. 7. The state side.|five. The master felons' side. six. The female felons' side. seven. The state side.
219|LJ002-0035|8. The press yard.|eight. The press yard.
220|LJ002-0036|1. The male debtors' side consisted of a yard forty-nine feet by thirty-one,|one. The male debtors' side consisted of a yard forty-nine feet by thirty-one,
221|LJ002-0037|leading to thirteen wards on various floors, and a day room.|leading to thirteen wards on various floors, and a day room.
222|LJ002-0038|"Of these wards, three were appropriated to the ""cabin side,"" so called because"|"Of these wards, three were appropriated to the ""cabin side,"" so called because"
223|LJ002-0039|"they each contained four small rooms or ""cabins"" seven feet square,"|"they each contained four small rooms or ""cabins"" seven feet square,"
224|LJ002-0040|intended to accommodate a couple of prisoners apiece, but often much more crowded.|intended to accommodate a couple of prisoners apiece, but often much more crowded.
225|LJ002-0041|Two other wards were appropriated to the master's side debtors; they were each twenty-three feet by fourteen and a half,|Two other wards were appropriated to the master's side debtors; they were each twenty-three feet by fourteen and a half,
226|LJ002-0042|and supposed to accommodate twenty persons. The eight remaining wards were for the common side debtors,|and supposed to accommodate twenty persons. The eight remaining wards were for the common side debtors,
227|LJ002-0043|long narrow rooms -- one thirty-six feet, six twenty-three feet, and the eighth eighteen,|long narrow rooms -- one thirty-six feet, six twenty-three feet, and the eighth eighteen,
228|LJ002-0044|the whole about fifteen feet wide.|the whole about fifteen feet wide.
229|LJ002-0045|The various wards were all about eleven feet in height,|The various wards were all about eleven feet in height,
230|LJ002-0046|and were occupied as a rule by ten to fifteen people when the prison was not crowded, but double the number was occasionally placed in them.|and were occupied as a rule by ten to fifteen people when the prison was not crowded, but double the number was occasionally placed in them.
231|LJ002-0047|The day room was fitted with benches and settles after the manner of the tap in a public-house.|The day room was fitted with benches and settles after the manner of the tap in a public-house.
232|LJ002-0048|2. The female debtors' side consisted of a court-yard forty-nine by sixteen feet,|two. The female debtors' side consisted of a court-yard forty-nine by sixteen feet,
233|LJ002-0049|leading to two wards, one of which was thirty-six feet by fifteen,|leading to two wards, one of which was thirty-six feet by fifteen,
234|LJ002-0050|and the other eighteen by fifteen; and they nominally held twenty-two persons.|and the other eighteen by fifteen; and they nominally held twenty-two persons.
235|LJ002-0051|A high wall fifteen feet in height divided the females' court-yard from the men's.|A high wall fifteen feet in height divided the females' court-yard from the men's.
236|LJ002-0052|3. The chapel yard was about forty-three feet by twenty-five.|three. The chapel yard was about forty-three feet by twenty-five.
237|LJ002-0053|It had been for some time devoted principally to felons of the worst types,|It had been for some time devoted principally to felons of the worst types,
238|LJ002-0054|those who were the oldest offenders, sentenced to transportation, and who had narrowly escaped the penalty of death.|those who were the oldest offenders, sentenced to transportation, and who had narrowly escaped the penalty of death.
239|LJ002-0055|This arrangement was, however, modified after 1811, and the chapel yard was allotted to misdemeanants and prisoners awaiting trial.|This arrangement was, however, modified after eighteen eleven, and the chapel yard was allotted to misdemeanants and prisoners awaiting trial.
240|LJ002-0056|The wards in this part were five in number, all in dimensions twenty feet by fifteen, with a sixth ward fifteen feet square.|The wards in this part were five in number, all in dimensions twenty feet by fifteen, with a sixth ward fifteen feet square.
241|LJ002-0057|These wards were all fitted with barrack-beds, but no bedding was supplied.|These wards were all fitted with barrack-beds, but no bedding was supplied.
242|LJ002-0058|The chapel yard led to the chapel, and on the staircase were two rooms frequently set apart for the king's witnesses,|The chapel yard led to the chapel, and on the staircase were two rooms frequently set apart for the king's witnesses,
243|LJ002-0059|those who had turned king's evidence, whose safety might have been imperiled had they been lodged with the men against whom they had informed.|those who had turned king's evidence, whose safety might have been imperiled had they been lodged with the men against whom they had informed.
244|LJ002-0060|But these king's witnesses were also put at times into the press yard among the capital convicts, seemingly a very dangerous proceeding,|But these king's witnesses were also put at times into the press yard among the capital convicts, seemingly a very dangerous proceeding,
245|LJ002-0061|or they lodged with the gatesmen, the prisoner officers who had charge of the inner gates.|or they lodged with the gatesmen, the prisoner officers who had charge of the inner gates.
246|LJ002-0062|The middle yard was at first given up to the least heinous offenders. After 1812 it changed functions with the chapel yard.|The middle yard was at first given up to the least heinous offenders. After eighteen twelve it changed functions with the chapel yard.
247|LJ002-0063|It was fifty feet by twenty-five, and had five wards each thirty-eight by fifteen. At one end of the yard was an arcade,|It was fifty feet by twenty-five, and had five wards each thirty-eight by fifteen. At one end of the yard was an arcade,
248|LJ002-0064|directly under the chapel, in which there were three cells, used either for the confinement of disorderly and refractory prisoners,|directly under the chapel, in which there were three cells, used either for the confinement of disorderly and refractory prisoners,
249|LJ002-0065|or female convicts ordered for execution.|or female convicts ordered for execution.
250|LJ002-0066|The master felons' side consisted of a yard the same size as the preceding, appropriated nominally to the most decent and better-behaved prisoners,|The master felons' side consisted of a yard the same size as the preceding, appropriated nominally to the most decent and better-behaved prisoners,
251|LJ002-0067|but really kept for the few who had funds sufficient to gain them admission to these more comfortable quarters.|but really kept for the few who had funds sufficient to gain them admission to these more comfortable quarters.
252|LJ002-0068|Here were also lodged the gatesmen, the prisoners who had charge of the inner gates, and who were entrusted with the duty of escorting visitors from the gates|Here were also lodged the gatesmen, the prisoners who had charge of the inner gates, and who were entrusted with the duty of escorting visitors from the gates
253|LJ002-0069|to the various wards their friends occupied.|to the various wards their friends occupied.
254|LJ002-0070|The state side was the part stolen from the female felons' side.|The state side was the part stolen from the female felons' side.
255|LJ002-0071|It was large and comparatively commodious, being maintained on a better footing than any other part of the prison.|It was large and comparatively commodious, being maintained on a better footing than any other part of the prison.
256|LJ002-0072|The inmates were privileged, either by antecedents or the fortunate possession of sufficient funds to pay the charges of the place.|The inmates were privileged, either by antecedents or the fortunate possession of sufficient funds to pay the charges of the place.
257|LJ002-0073|Neild takes it for granted that the former rather than the latter prevailed in the selection,|Neild takes it for granted that the former rather than the latter prevailed in the selection,
258|LJ002-0074|and tells us that in the state side, quote, such prisoners were safely associated whose manners and conduct evince a more liberal style of education,|and tells us that in the state side, quote, such prisoners were safely associated whose manners and conduct evince a more liberal style of education,
259|LJ002-0075|and who are therefore lodged apart from all other districts of the jail. End quote.|and who are therefore lodged apart from all other districts of the jail. End quote.
260|LJ002-0076|The state side contained twelve good-sized rooms,|The state side contained twelve good-sized rooms,
261|LJ002-0077|from twenty-one by eighteen feet to fifteen feet square, which were furnished with bedsteads and bedding.|from twenty-one by eighteen feet to fifteen feet square, which were furnished with bedsteads and bedding.
262|LJ002-0078|7. The press yard was that part set aside for the condemned.|seven. The press yard was that part set aside for the condemned.
263|LJ002-0079|Its name and its situation were the same as those of the old place of carrying out the terrible sentence inflicted on accused persons who stood mute.|Its name and its situation were the same as those of the old place of carrying out the terrible sentence inflicted on accused persons who stood mute.
264|LJ002-0080|The long narrow yard still remained as we saw it in Jacobite times,|The long narrow yard still remained as we saw it in Jacobite times,
265|LJ002-0081|and beyond it was now a day room for the capital convicts or those awaiting execution.|and beyond it was now a day room for the capital convicts or those awaiting execution.
266|LJ002-0082|Beyond the press yard were three stories, condemned cells, fifteen in all, with vaulted ceilings nine feet high to the crown of the arch.|Beyond the press yard were three stories, condemned cells, fifteen in all, with vaulted ceilings nine feet high to the crown of the arch.
267|LJ002-0083|The ground floor cells were nine feet by six;|The ground floor cells were nine feet by six;
268|LJ002-0084|those on the first floor were rather larger on account of a set-off in the wall; and the uppermost were the largest, for the same reason.|those on the first floor were rather larger on account of a set-off in the wall; and the uppermost were the largest, for the same reason.
269|LJ002-0085|Security was provided for in these condemned cells by lining the substantial stone walls with planks studded with broad-headed nails;|Security was provided for in these condemned cells by lining the substantial stone walls with planks studded with broad-headed nails;
270|LJ002-0086|they were lighted by a double-grated window two feet nine inches by fourteen inches; and in the doors, which were four inches thick,|they were lighted by a double-grated window two feet nine inches by fourteen inches; and in the doors, which were four inches thick,
271|LJ002-0087|a circular aperture had been let in to give ventilation and secure a free current of air.|a circular aperture had been let in to give ventilation and secure a free current of air.
272|LJ002-0088|In each cell there was a barrack bedstead on the floor without bedding.|In each cell there was a barrack bedstead on the floor without bedding.
273|LJ002-0089|8. The female felons were deprived of part of the space which the architect had intended for them.|eight. The female felons were deprived of part of the space which the architect had intended for them.
274|LJ002-0090|More than half their quadrangle had been partitioned off for another purpose,|More than half their quadrangle had been partitioned off for another purpose,
275|LJ002-0091|and what remained was divided into a master's and a common side for female felons.|and what remained was divided into a master's and a common side for female felons.
276|LJ002-0092|The two yards were adjoining, that for the common side much the largest.|The two yards were adjoining, that for the common side much the largest.
277|LJ002-0093|There were nine wards in all on the female side, one of them in the attic,|There were nine wards in all on the female side, one of them in the attic,
278|LJ002-0094|with four casements and two fireplaces, being allotted for a female infirmary|with four casements and two fireplaces, being allotted for a female infirmary
279|LJ002-0095|and the rest being provided with barrack beds, and in dimensions varying from thirty feet by fifteen to fifteen feet by ten.|and the rest being provided with barrack beds, and in dimensions varying from thirty feet by fifteen to fifteen feet by ten.
280|LJ002-0096|The eight courts above enumerated were well supplied with water;|The eight courts above enumerated were well supplied with water;
281|LJ002-0097|"they had dust-bins, sewers, and so forth, ""properly disposed,"" and the city scavenger paid periodical visits to the prison."|"they had dust-bins, sewers, and so forth, ""properly disposed,"" and the city scavenger paid periodical visits to the prison."
282|LJ002-0098|The prisoners had few comforts, beyond the occasional use of a bath at some distance, situated in the press yard,|The prisoners had few comforts, beyond the occasional use of a bath at some distance, situated in the press yard,
283|LJ002-0099|to which access was granted rarely and as a great favor. But they were allowed the luxury of drink -- if they could pay for it.|to which access was granted rarely and as a great favor. But they were allowed the luxury of drink -- if they could pay for it.
284|LJ002-0100|A recent reform had closed the tap kept by the jailer within the precincts, but|A recent reform had closed the tap kept by the jailer within the precincts, but
285|LJ002-0101|"there was still a ""convenient room"" which served, and, quote,"|"there was still a ""convenient room"" which served, and, quote,"
286|LJ002-0102|near it a grating through which the debtors receive their beer from the neighboring public-houses.|near it a grating through which the debtors receive their beer from the neighboring public-houses.
287|LJ002-0103|The felons' side has a similar accommodation, and this mode of introducing the beverage is adopted because no publican as such|The felons' side has a similar accommodation, and this mode of introducing the beverage is adopted because no publican as such
288|LJ002-0104|can be permitted to enter the interior of this prison. End quote. The tap-room and bar were just behind the felons' entrance lodge,|can be permitted to enter the interior of this prison. End quote. The tap-room and bar were just behind the felons' entrance lodge,
289|LJ002-0105|"and beyond it was a room called the ""wine room,"" because formerly used for the sale of wine, but"|"and beyond it was a room called the ""wine room,"" because formerly used for the sale of wine, but"
290|LJ002-0106|in which latterly a copper had been fixed for the cooking of provisions sent in by charitable persons.|in which latterly a copper had been fixed for the cooking of provisions sent in by charitable persons.
291|LJ002-0107|Quote, On the top of the jail, continues Neild, are a watch-house and a sentry-box, where two or more guards, with dogs and firearms,|Quote, On the top of the jail, continues Neild, are a watch-house and a sentry-box, where two or more guards, with dogs and firearms,
292|LJ002-0108|watch all night. Adjoining the felons' side lodge is the keeper's office, where the prison books are kept, and his clerk,|watch all night. Adjoining the felons' side lodge is the keeper's office, where the prison books are kept, and his clerk,
293|LJ002-0109|called the clerk of the papers, attends daily. End quote.|called the clerk of the papers, attends daily. End quote.
294|LJ002-0110|Having thus briefly described the plan and appropriation of the prison, I propose to deal now with the general condition of the inmates, and the manner of their life.|Having thus briefly described the plan and appropriation of the prison, I propose to deal now with the general condition of the inmates, and the manner of their life.
295|LJ002-0111|Of these the debtors, male and female, formed a large proportion.|Of these the debtors, male and female, formed a large proportion.
296|LJ002-0112|The frequency and extent of processes against debtors seventy or eighty years ago will appear almost incredible|The frequency and extent of processes against debtors seventy or eighty years ago will appear almost incredible
297|LJ002-0113|in an age when insolvent acts and bankruptcy courts do so much to relieve the impecunious,|in an age when insolvent acts and bankruptcy courts do so much to relieve the impecunious,
298|LJ002-0114|and imprisonment for debt has almost entirely disappeared.|and imprisonment for debt has almost entirely disappeared.
299|LJ002-0116|The number of processes against debtors annually was extraordinary.|The number of processes against debtors annually was extraordinary.
300|LJ002-0117|Neild gives, on the authority of Mr. Burchell, the under sheriff of Middlesex,|Neild gives, on the authority of Mr. Burchell, the under sheriff of Middlesex,
301|LJ002-0118|a table showing the figures for the year ending Michaelmas 1802.|a table showing the figures for the year ending Michaelmas eighteen oh two.
302|LJ002-0119|In that period upwards of 200,000 writs|In that period upwards of two hundred thousand writs
303|LJ002-0120|had been issued for the arrests of debtors in the kingdom, for sums varying from fourpence to £500 and upwards.|had been issued for the arrests of debtors in the kingdom, for sums varying from fourpence to five hundred pounds and upwards.
